parent_seed,run_id,true_family,condition_id,data_only_rmse,controlled_rmse,control_regret,positive_control_regret,harmful_control,coverage,model,outer_fold,threshold,calibration_feasible
4042,pca_gamma_train_02,gamma,train_l3800_ls120_s48_n10,0.10015404065363359,0.10015404065363359,0.0,0.0,0,0.0,logistic_safe,2,0.05210686435414746,False
4042,pca_gamma_train_09,gamma,train_l5400_ls160_s42_n8,0.12748693917155085,0.12748693917155085,0.0,0.0,0,0.0,logistic_safe,2,0.05210686435414746,False
4042,pca_gamma_train_15,gamma,train_l6200_ls120_s54_n8,0.12246016993381136,0.12246016993381136,0.0,0.0,0,0.0,logistic_safe,2,0.05210686435414746,False
4042,pca_gamma_train_16,gamma,train_l6200_ls160_s60_n14,0.045189647348889236,0.045189647348889236,0.0,0.0,0,0.0,logistic_safe,2,0.05210686435414746,False
4042,pca_linear_train_05,linear_increasing,train_l4600_ls120_s42_n14,0.13959979390559993,0.13959979390559993,0.0,0.0,0,0.0,logistic_safe,2,0.05210686435414746,False
4042,pca_linear_train_10,linear_increasing,train_l5400_ls200_s48_n14,0.12837258938639048,0.12837258938639048,0.0,0.0,0,0.0,logistic_safe,2,0.05210686435414746,False
4042,pca_linear_train_16,linear_increasing,train_l6200_ls160_s60_n14,0.14543821446426652,0.14543821446426652,0.0,0.0,0,0.0,logistic_safe,2,0.05210686435414746,False
4042,pca_linear_validation_02,linear_increasing,validation_l5000_ls140_s51_n11,0.1698321360153574,0.1698321360153574,0.0,0.0,0,0.0,logistic_safe,2,0.05210686435414746,False
4042,pca_progressive_train_05,progressively_increasing,train_l4600_ls120_s42_n14,0.11131732112538943,0.11131732112538943,0.0,0.0,0,0.0,logistic_safe,2,0.05210686435414746,False
4042,pca_progressive_train_14,progressively_increasing,train_l6200_ls80_s48_n6,0.12946285735993643,0.12946285735993643,0.0,0.0,0,0.0,logistic_safe,2,0.05210686435414746,False
4042,pca_progressive_train_16,progressively_increasing,train_l6200_ls160_s60_n14,0.08510996304914427,0.08510996304914427,0.0,0.0,0,0.0,logistic_safe,2,0.05210686435414746,False
4042,pca_progressive_validation_04,progressively_increasing,validation_l5000_ls180_s45_n9,0.11423623545241426,0.11423623545241426,0.0,0.0,0,0.0,logistic_safe,2,0.05210686435414746,False
4042,pca_step_train_07,step_like,train_l4600_ls200_s54_n6,0.15135893690477706,0.15135893690477706,0.0,0.0,0,0.0,logistic_safe,2,0.05210686435414746,False
4042,pca_step_train_12,step_like,train_l5400_ls120_s60_n6,0.18671994194265248,0.18671994194265248,0.0,0.0,0,0.0,logistic_safe,2,0.05210686435414746,False
4042,pca_step_train_16,step_like,train_l6200_ls160_s60_n14,0.212256371974945,0.212256371974945,0.0,0.0,0,0.0,logistic_safe,2,0.05210686435414746,False
4042,pca_step_validation_03,step_like,validation_l5800_ls180_s57_n13,0.2696544145144709,0.2696544145144709,0.0,0.0,0,0.0,logistic_safe,2,0.05210686435414746,False
4042,pca_gamma_train_05,gamma,train_l4600_ls120_s42_n14,0.08235995753414084,0.08245368375134009,9.372621719924701e-05,9.372621719924701e-05,0,0.028985507246376812,logistic_safe,3,0.24455521956523157,True
4042,pca_gamma_train_07,gamma,train_l4600_ls200_s54_n6,0.12060424369324368,0.091595518991666,-0.029008724701577684,0.0,0,0.7727272727272727,logistic_safe,3,0.24455521956523157,True
4042,pca_gamma_train_12,gamma,train_l5400_ls120_s60_n6,0.11611092369915678,0.10342900620103505,-0.012681917498121725,0.0,0,0.5849056603773585,logistic_safe,3,0.24455521956523157,True
4042,pca_gamma_validation_04,gamma,validation_l5000_ls180_s45_n9,0.19732239406983998,0.185857930496426,-0.011464463573413991,0.0,0,0.25925925925925924,logistic_safe,3,0.24455521956523157,True
4042,pca_linear_train_03,linear_increasing,train_l3800_ls160_s54_n14,0.22227332536546174,0.2198964331268715,-0.0023768922385902502,0.0,0,0.06666666666666667,logistic_safe,3,0.24455521956523157,True
4042,pca_linear_train_04,linear_increasing,train_l3800_ls200_s60_n8,0.18997579669278708,0.18417924539984473,-0.005796551292942348,0.0,0,0.6428571428571429,logistic_safe,3,0.24455521956523157,True
4042,pca_linear_train_12,linear_increasing,train_l5400_ls120_s60_n6,0.0888716802000999,0.08089969307184215,-0.007971987128257751,0.0,0,1.0,logistic_safe,3,0.24455521956523157,True
