parent_seed,model,outer_fold,fit_trajectories,calibration_trajectories,held_out_trajectories,threshold,calibration_feasible,calibration_macro_run_rmse,calibration_data_only_macro_run_rmse,calibration_mean_control_regret,calibration_mean_positive_control_regret,calibration_harm_rate,calibration_maximum_control_regret,calibration_coverage,held_out_macro_run_rmse,held_out_data_only_macro_run_rmse,held_out_mean_control_regret,held_out_mean_positive_control_regret,held_out_harm_rate,held_out_maximum_control_regret,held_out_coverage
1042,logistic_safe,2,48,16,16,0.3669639030777391,True,0.18279008209997938,0.1914596278524145,-0.008669545752435101,0.002573637008292582,0.0625,0.024296068689071193,0.6003842459173871,0.18141099189094811,0.1887613540071797,-0.007350362116231612,0.0038236300933614667,0.125,0.03428608299735854,0.39937888198757765
1042,logistic_safe,3,48,16,16,0.3644942845920822,True,0.13355483059926815,0.13895478157046384,-0.005399950971195701,0.0020037624816381483,0.0,0.008459951469768134,0.5005512679162073,0.18365632121155895,0.1914596278524145,-0.007803306640855502,0.002321647011407922,0.125,0.015033685531161772,0.5292987512007685
1042,logistic_safe,4,48,16,16,0.2053683117501443,True,0.19919413228021468,0.1987014621415795,0.000492670138635189,0.0011301668543028803,0.0625,0.01228613980720572,0.08012994044396318,0.13852070352319484,0.13895478157046384,-0.0004340780472690065,0.0005682736604159227,0.0,0.006473501085281622,0.12238147739801543
1042,extra_trees_safe,0,48,16,16,0.18403680365608732,True,0.18895918788273697,0.18780158501452437,0.001157602868212591,0.0016193080168347435,0.0625,0.01752091658812316,0.09023354564755838,0.1987881397883328,0.1987014621415795,8.667764675328055e-05,8.72114089982114e-05,0.0,0.0008735465540019166,0.008662696264212236
1042,extra_trees_safe,1,48,16,16,0.2487738160634695,True,0.18870830298893582,0.1887613540071797,-5.3051018243900454e-05,0.0024583604119934174,0.0625,0.01632252142466241,0.19006211180124225,0.1839570771624072,0.18780158501452437,-0.0038445078521171534,0.0027420043981581602,0.125,0.026701113765066925,0.346072186836518
1042,extra_trees_safe,2,48,16,16,0.2567532063599525,True,0.18970497272703996,0.1914596278524145,-0.0017546551253745093,3.434380493482717e-05,0.0,0.0005495008789572348,0.11047070124879924,0.1896209364244983,0.1887613540071797,0.0008595824173185523,0.0014395184972042455,0.0625,0.01730617692374714,0.09192546583850932
1042,extra_trees_safe,3,48,16,16,0.23359199467091923,True,0.14017674259703433,0.13895478157046384,0.0012219610265704582,0.0012219610265704582,0.0625,0.01728788864215902,0.050716648291069456,0.18881338800682307,0.1914596278524145,-0.0026462398455914457,0.0,0.0,0.0,0.059558117195004805
1042,extra_trees_safe,4,48,16,16,0.32642147795783577,True,0.19347041794160288,0.1987014621415795,-0.005231044199976605,0.0025205227880637227,0.0625,0.01648929401864868,0.6497022198159177,0.14248232352648968,0.13895478157046384,0.0035275419560258274,0.004209009311359346,0.125,0.028333704708638607,0.6317530319735392
1042,extra_trees_regret,0,48,16,16,-0.04936897878422968,True,0.18857746623842248,0.18780158501452437,0.0007758812238981352,0.00330729394247636,0.0625,0.03994506941104098,0.08067940552016985,0.19752501784102172,0.1987014621415795,-0.0011764443005577597,0.0008555226649394395,0.0625,0.013688362639031032,0.0752571737953438
1042,extra_trees_regret,1,48,16,16,-0.021768109637518362,True,0.1873184757505837,0.1887613540071797,-0.0014428782565960299,0.001985254065784524,0.0625,0.011957843758760411,0.3298136645962733,0.179321214932551,0.18780158501452437,-0.008480370081973377,0.0053210948245708285,0.125,0.03949579751626453,0.5212314225053079
1042,extra_trees_regret,2,48,16,16,-0.024933424361955905,True,0.18881703566229535,0.1914596278524145,-0.0026425921901191357,0.002193401795025765,0.0625,0.034666361097087206,0.4803073967339097,0.1915207489577775,0.1887613540071797,0.0027593949505977915,0.00455694284357561,0.0625,0.048488246291421816,0.3739130434782609
1042,extra_trees_regret,3,48,16,16,-0.05720276750640378,True,0.1405997904794082,0.13895478157046384,0.0016450089089443593,0.0016450089089443593,0.0625,0.01754455909099413,0.050716648291069456,0.1914596278524145,0.1914596278524145,0.0,0.0,0.0,0.0,0.0
1042,extra_trees_regret,4,48,16,16,-0.02367098383767356,True,0.19414821642268154,0.1987014621415795,-0.0045532457188979325,0.0024690632459561327,0.0625,0.03347777703451707,0.2598808879263671,0.139112549096942,0.13895478157046384,0.00015776752647815974,0.002430107147366824,0.125,0.015744441370377893,0.5027563395810364
2042,logistic_safe,0,48,16,16,0.2746364415427437,True,0.1543097516572777,0.15894620671041418,-0.004636455053136474,0.003141038649161826,0.0625,0.027380406726783352,0.3997668997668998,0.18085874617483993,0.18633219510006327,-0.005473448925223305,0.002084142568623294,0.0625,0.023268170363173316,0.30268199233716475
