parent_seed,run_id,method,rmse,data_only_rmse,physics_regret,positive_physics_regret
42,pca_linear_test_04,oracle,0.16204425614787954,0.2048654840712887,-0.04282122792340917,0.0
42,pca_linear_test_04,priorcred,0.20538636194626747,0.2048654840712887,0.000520877874978759,0.000520877874978759
42,pca_linear_test_04,random_credibility,0.19247821146460142,0.2048654840712887,-0.012387272606687288,0.0
42,pca_linear_test_04,validation_selected_scalar,0.2048654840712887,0.2048654840712887,0.0,0.0
42,pca_progressive_test_01,all_off,0.1345041728190972,0.1345041728190972,0.0,0.0
42,pca_progressive_test_01,all_on,0.12855869397126546,0.1345041728190972,-0.005945478847831753,0.0
42,pca_progressive_test_01,anti_oracle,0.16403544076413848,0.1345041728190972,0.029531267945041267,0.029531267945041267
42,pca_progressive_test_01,data_only,0.1345041728190972,0.1345041728190972,0.0,0.0
42,pca_progressive_test_01,inverse_residual,0.13392107901664135,0.1345041728190972,-0.0005830938024558585,0.0
42,pca_progressive_test_01,oracle,0.11468595563071597,0.1345041728190972,-0.01981821718838124,0.0
42,pca_progressive_test_01,priorcred,0.11346240178101936,0.1345041728190972,-0.021041771038077847,0.0
42,pca_progressive_test_01,random_credibility,0.12797581693191298,0.1345041728190972,-0.0065283558871842284,0.0
42,pca_progressive_test_01,validation_selected_scalar,0.1345041728190972,0.1345041728190972,0.0,0.0
42,pca_progressive_test_02,all_off,0.18552464853314177,0.18552464853314177,0.0,0.0
42,pca_progressive_test_02,all_on,0.19577177453900974,0.18552464853314177,0.010247126005867968,0.010247126005867968
42,pca_progressive_test_02,anti_oracle,0.2476689568458014,0.18552464853314177,0.06214430831265963,0.06214430831265963
42,pca_progressive_test_02,data_only,0.18552464853314177,0.18552464853314177,0.0,0.0
42,pca_progressive_test_02,inverse_residual,0.19707335132762388,0.18552464853314177,0.011548702794482113,0.011548702794482113
42,pca_progressive_test_02,oracle,0.1532094337966036,0.18552464853314177,-0.03231521473653817,0.0
42,pca_progressive_test_02,priorcred,0.17520255081289915,0.18552464853314177,-0.010322097720242618,0.0
42,pca_progressive_test_02,random_credibility,0.19330189192923666,0.18552464853314177,0.007777243396094896,0.007777243396094896
42,pca_progressive_test_02,validation_selected_scalar,0.18552464853314177,0.18552464853314177,0.0,0.0
42,pca_progressive_test_03,all_off,0.08053885753441495,0.08053885753441495,0.0,0.0
42,pca_progressive_test_03,all_on,0.0779780384311042,0.08053885753441495,-0.0025608191033107547,0.0
42,pca_progressive_test_03,anti_oracle,0.12240924753380192,0.08053885753441495,0.04187038999938697,0.04187038999938697
42,pca_progressive_test_03,data_only,0.08053885753441495,0.08053885753441495,0.0,0.0
42,pca_progressive_test_03,inverse_residual,0.07471162513187822,0.08053885753441495,-0.005827232402536728,0.0
42,pca_progressive_test_03,oracle,0.05175368897537666,0.08053885753441495,-0.028785168559038288,0.0
42,pca_progressive_test_03,priorcred,0.08053885753441495,0.08053885753441495,0.0,0.0
42,pca_progressive_test_03,random_credibility,0.08026954391917351,0.08053885753441495,-0.0002693136152414344,0.0
42,pca_progressive_test_03,validation_selected_scalar,0.08053885753441495,0.08053885753441495,0.0,0.0
42,pca_progressive_test_04,all_off,0.09972250053053344,0.09972250053053344,0.0,0.0
42,pca_progressive_test_04,all_on,0.1066185140056408,0.09972250053053344,0.006896013475107363,0.006896013475107363
42,pca_progressive_test_04,anti_oracle,0.12335072340067044,0.09972250053053344,0.023628222870136995,0.023628222870136995
42,pca_progressive_test_04,data_only,0.09972250053053344,0.09972250053053344,0.0,0.0
42,pca_progressive_test_04,inverse_residual,0.10616259676230741,0.09972250053053344,0.006440096231773967,0.006440096231773967
42,pca_progressive_test_04,oracle,0.09518941907852231,0.09972250053053344,-0.004533081452011131,0.0
42,pca_progressive_test_04,priorcred,0.09972250053053344,0.09972250053053344,0.0,0.0
42,pca_progressive_test_04,random_credibility,0.10871757490965278,0.09972250053053344,0.008995074379119339,0.008995074379119339
42,pca_progressive_test_04,validation_selected_scalar,0.09972250053053344,0.09972250053053344,0.0,0.0
42,pca_step_test_01,all_off,0.19038305551720644,0.19038305551720644,0.0,0.0
42,pca_step_test_01,all_on,0.21481838502323417,0.19038305551720644,0.024435329506027725,0.024435329506027725
42,pca_step_test_01,anti_oracle,0.2432409891957173,0.19038305551720644,0.052857933678510854,0.052857933678510854
42,pca_step_test_01,data_only,0.19038305551720644,0.19038305551720644,0.0,0.0
42,pca_step_test_01,inverse_residual,0.21344416214380144,0.19038305551720644,0.023061106626594996,0.023061106626594996
42,pca_step_test_01,oracle,0.1587057507301383,0.19038305551720644,-0.03167730478706815,0.0
42,pca_step_test_01,priorcred,0.2001879199397144,0.19038305551720644,0.00980486442250797,0.00980486442250797
42,pca_step_test_01,random_credibility,0.21576278922659772,0.19038305551720644,0.025379733709391283,0.025379733709391283
42,pca_step_test_01,validation_selected_scalar,0.19038305551720644,0.19038305551720644,0.0,0.0
42,pca_step_test_02,all_off,0.2943953283694217,0.2943953283694217,0.0,0.0
42,pca_step_test_02,all_on,0.2917811174462786,0.2943953283694217,-0.002614210923143123,0.0
42,pca_step_test_02,anti_oracle,0.3352776275526523,0.2943953283694217,0.04088229918323055,0.04088229918323055
42,pca_step_test_02,data_only,0.2943953283694217,0.2943953283694217,0.0,0.0
42,pca_step_test_02,inverse_residual,0.28777185010978196,0.2943953283694217,-0.00662347825963977,0.0
42,pca_step_test_02,oracle,0.2509000747382006,0.2943953283694217,-0.04349525363122114,0.0
42,pca_step_test_02,priorcred,0.2943953283694217,0.2943953283694217,0.0,0.0
42,pca_step_test_02,random_credibility,0.2933571525372103,0.2943953283694217,-0.001038175832211441,0.0
42,pca_step_test_02,validation_selected_scalar,0.2943953283694217,0.2943953283694217,0.0,0.0
42,pca_step_test_03,all_off,0.19081015628790746,0.19081015628790746,0.0,0.0
42,pca_step_test_03,all_on,0.182323856548284,0.19081015628790746,-0.008486299739623449,0.0
42,pca_step_test_03,anti_oracle,0.21299738594309156,0.19081015628790746,0.022187229655184104,0.022187229655184104
42,pca_step_test_03,data_only,0.19081015628790746,0.19081015628790746,0.0,0.0
42,pca_step_test_03,inverse_residual,0.18444566308376567,0.19081015628790746,-0.006364493204141786,0.0
42,pca_step_test_03,oracle,0.17734648435795117,0.19081015628790746,-0.013463671929956289,0.0
42,pca_step_test_03,priorcred,0.16922592511753548,0.19081015628790746,-0.021584231170371976,0.0
42,pca_step_test_03,random_credibility,0.18120889703146664,0.19081015628790746,-0.009601259256440814,0.0
42,pca_step_test_03,validation_selected_scalar,0.19081015628790746,0.19081015628790746,0.0,0.0
42,pca_step_test_04,all_off,0.18615210238698088,0.18615210238698088,0.0,0.0
42,pca_step_test_04,all_on,0.17575989593697183,0.18615210238698088,-0.010392206450009045,0.0
42,pca_step_test_04,anti_oracle,0.23244599267825353,0.18615210238698088,0.04629389029127265,0.04629389029127265
42,pca_step_test_04,data_only,0.18615210238698088,0.18615210238698088,0.0,0.0
42,pca_step_test_04,inverse_residual,0.17685244656867502,0.18615210238698088,-0.009299655818305858,0.0
42,pca_step_test_04,oracle,0.16596753021316293,0.18615210238698088,-0.020184572173817944,0.0
42,pca_step_test_04,priorcred,0.18615210238698088,0.18615210238698088,0.0,0.0
42,pca_step_test_04,random_credibility,0.17790478250518002,0.18615210238698088,-0.008247319881800858,0.0
42,pca_step_test_04,validation_selected_scalar,0.18615210238698088,0.18615210238698088,0.0,0.0
1042,pca_gamma_test_01,all_off,0.09118030266301803,0.09118030266301803,0.0,0.0
1042,pca_gamma_test_01,all_on,0.09419830203552075,0.09118030266301803,0.0030179993725027165,0.0030179993725027165
1042,pca_gamma_test_01,anti_oracle,0.09692562520263347,0.09118030266301803,0.005745322539615433,0.005745322539615433
1042,pca_gamma_test_01,data_only,0.09118030266301803,0.09118030266301803,0.0,0.0
1042,pca_gamma_test_01,inverse_residual,0.0963388527931855,0.09118030266301803,0.005158550130167472,0.005158550130167472
1042,pca_gamma_test_01,oracle,0.09043600850800763,0.09118030266301803,-0.0007442941550103999,0.0
1042,pca_gamma_test_01,priorcred,0.09118030266301803,0.09118030266301803,0.0,0.0
1042,pca_gamma_test_01,random_credibility,0.0948277776642869,0.09118030266301803,0.003647475001268871,0.003647475001268871
1042,pca_gamma_test_01,validation_selected_scalar,0.09118030266301803,0.09118030266301803,0.0,0.0
1042,pca_gamma_test_02,all_off,0.09910747815433014,0.09910747815433014,0.0,0.0
1042,pca_gamma_test_02,all_on,0.1042333639491495,0.09910747815433014,0.00512588579481936,0.00512588579481936
1042,pca_gamma_test_02,anti_oracle,0.12004780714441952,0.09910747815433014,0.02094032899008938,0.02094032899008938
1042,pca_gamma_test_02,data_only,0.09910747815433014,0.09910747815433014,0.0,0.0
1042,pca_gamma_test_02,inverse_residual,0.10125266357128745,0.09910747815433014,0.00214518541695731,0.00214518541695731
1042,pca_gamma_test_02,oracle,0.09737022032054397,0.09910747815433014,-0.001737257833786171,0.0
1042,pca_gamma_test_02,priorcred,0.10169488287089497,0.09910747815433014,0.002587404716564823,0.002587404716564823
1042,pca_gamma_test_02,random_credibility,0.10618080489901936,0.09910747815433014,0.007073326744689218,0.007073326744689218
1042,pca_gamma_test_02,validation_selected_scalar,0.09910747815433014,0.09910747815433014,0.0,0.0
1042,pca_gamma_test_03,all_off,0.11265781990889934,0.11265781990889934,0.0,0.0
1042,pca_gamma_test_03,all_on,0.12607868616938056,0.11265781990889934,0.013420866260481223,0.013420866260481223
1042,pca_gamma_test_03,anti_oracle,0.14061825231027367,0.11265781990889934,0.02796043240137433,0.02796043240137433
1042,pca_gamma_test_03,data_only,0.11265781990889934,0.11265781990889934,0.0,0.0
1042,pca_gamma_test_03,inverse_residual,0.12852462255641084,0.11265781990889934,0.015866802647511502,0.015866802647511502
